3;7;94.37
5;20;95.64
3;7;25.79
4;11;87.24
3;7;75.15
5;13;106.7
4;4;114.88
3;7;36.14
3;7;75.14
4;17;83.83
5;10;25.92
3;7;78.73
3;10;83.37
5;10;118.05
5;17;56.22
3;7;39.59
5;13;25.09
5;15;116.38
5;10;24.64
3;12;39.04
3;16;84.37
5;15;75.53
5;20;30.36
3;10;62.55
3;16;117.73
4;13;37.4
3;7;52.89
5;15;91.98
5;10;56.2
5;9;111.11
5;20;47.34
3;10;79.17
5;17;29.35
3;15;119.22
3;15;105.26
5;4;79.55
4;14;49.16
4;11;31.61
4;4;21.41
4;5;30.61
4;10;19.84
4;16;57.76
4;14;26.39
4;1;13.63
4;4;19.73
4;11;34.85
4;21;100.39
4;17;36.13
4;15;35.87
